ID,Average Rating,Latitude,Longitude,Person Capacity,Price
11947524,4.97,42.38922,-71.11498,2,$93
48157277,4.92,42.39596,-71.12811,2,$140
19423076,4.95,42.38888,-71.12653,6,$178
22085012,4.72,42.39253,-71.11186,1,$50
49840424,4.0,42.38865,-71.12213,4,$54
50540363,5.0,42.39378,-71.12735,2,$86
24304200,4.98,42.39311,-71.12854,2,$85
33128612,4.3,42.3912,-71.12228,3,$90
9300963,4.98,42.39478,-71.12946,4,$135
10545046,4.95,42.39656,-71.13562,4,$155
4068377,4.94,42.39437,-71.12601,2,$125
52475858,4.4,42.39174,-71.1177,4,$192
24186613,4.98,42.39674,-71.11286,2,$68
6185571,4.94,42.39671,-71.13664,1,$79
15789298,4.93,42.39568,-71.13071,1,$95
6861804,,42.39456,-71.11198,2,$180
25008538,,42.3949,-71.11927,2,$52
7007117,4.93,42.39479,-71.13499,1,$70
6101153,4.78,42.39154,-71.10603,4,$146
14566771,4.86,42.38674,-71.11145,2,$84
48178756,,42.38602,-71.11797,2,$192
47757097,,42.39443,-71.12707,2,$86
22287397,,42.39369,-71.12508,2,$86
13175406,4.94,42.3966,-71.13586,1,$79
6992468,4.96,42.3905,-71.11545,7,$418
46471580,4.29,42.39222,-71.1333,3,$89
456429,4.96,42.39475,-71.12548,6,$350
40801804,4.17,42.39157,-71.12061,9,$160
17693766,4.82,42.39419,-71.13291,2,$85
11945,4.9,42.39416,-71.13232,1,$82
50810297,,42.39459,-71.13235,2,$111
46145328,,42.39461,-71.13338,1,$70
11169,4.75,42.3963,-71.13135,3,$112
6185544,4.87,42.3965,-71.1367,5,$195
43222795,,42.39412,-71.13341,1,$42
46128218,3.33,42.39272,-71.13214,2,$111
46434097,4.14,42.39437,-71.13261,3,$80
7843046,5.0,42.39436,-71.12963,4,$129
39918089,4.85,42.39382,-71.13258,8,$399
46171963,,42.39226,-71.13423,1,$41
6662157,4.96,42.39277,-71.13114,10,$385
43223000,,42.39549,-71.13466,1,$42
36769756,4.94,42.39188,-71.13099,10,$399
46226680,5.0,42.39232,-71.13407,2,$50
46345955,4.29,42.39255,-71.13198,4,$95
22004690,,42.39448,-71.13519,2,$85
42092857,,42.39507,-71.13521,1,$55
3945567,4.92,42.39518,-71.1334,2,$140
40552282,,42.39327,-71.13524,10,$250
46778268,4.2,42.39251,-71.13336,4,$89
46331232,4.33,42.39368,-71.1321,3,$100
1193755,4.39,42.39552,-71.13115,1,$75
11430913,4.81,42.39665,-71.12226,6,$160
16524430,,42.39219,-71.1235,2,$139
15153410,4.75,42.3953,-71.12285,1,$75
6374780,5.0,42.39525,-71.12717,4,$171
36622151,,42.39446,-71.1343,10,$250
4031375,4.67,42.39605,-71.134,2,$114
1272909,4.6,42.39375,-71.13111,2,$75
35567159,4.53,42.39532,-71.10403,1,$65
16192170,4.62,42.39632,-71.10468,2,$65
34842975,4.81,42.39505,-71.10253,6,$134
26925356,4.69,42.39526,-71.11296,2,$75
35559494,,42.39538,-71.10507,1,$50
2676037,4.35,42.39622,-71.10384,6,$159
49593304,4.71,42.39659,-71.11109,4,$125
15803315,4.6,42.39466,-71.10396,10,$200
44570233,,42.39319,-71.1051,5,$240
37546619,,42.39701,-71.10373,4,$175
49132024,,42.3945,-71.10485,2,$89
19342569,,42.39621,-71.11495,1,$34
23456501,4.6,42.39421,-71.10337,2,$300
27404581,4.47,42.39385,-71.10142,2,$49
44742662,,42.39587,-71.10303,5,$165
15930596,4.88,42.39639,-71.1046,1,$65
16122237,4.46,42.39632,-71.10468,2,$85
15801835,4.9,42.39538,-71.1147,2,$65
21015982,4.56,42.39632,-71.10468,2,$61
37535192,4.13,42.3958,-71.10389,2,$75
23457160,4.45,42.39403,-71.10146,2,$53
235397,4.83,42.39438,-71.11239,2,$751
52795995,4.9,42.38985,-71.12912,6,$285
23114790,4.75,42.388,-71.13849,6,$300
11944852,4.85,42.38832,-71.13893,6,$270
12248543,4.9,42.38764,-71.1387,8,$270
48640925,,42.38664,-71.12528,3,$165
48643097,,42.38788,-71.1237,3,$155
33483321,,42.38902,-71.12048,3,$130
42789288,,42.39112,-71.1204,4,$99
49775995,,42.38601,-71.13849,2,$100
28178013,,42.39055,-71.12674,4,$175
6847242,4.99,42.38469,-71.12199,1,$90
49585783,,42.38448,-71.13307,1,$35
6599485,4.64,42.38461,-71.135,2,$56
28180866,4.88,42.38682,-71.10383,1,$98
34452,4.85,42.38651,-71.11023,2,$90
42308038,4.6,42.3903,-71.10829,1,$33
1279548,4.98,42.38684,-71.11494,2,$125
17085355,4.85,42.38778,-71.11598,10,$363
39908347,,42.38667,-71.11569,2,$178
4484068,4.78,42.38645,-71.11302,2,$72
4054229,4.52,42.38686,-71.11057,1,$60
4977885,4.86,42.3907,-71.1152,4,$175
29779838,,42.38858,-71.10953,2,$95
19530345,5.0,42.38726,-71.10912,1,$99
48178732,,42.38659,-71.10088,2,$178
52952935,,42.38777,-71.10861,8,$220
4184365,4.87,42.38758,-71.11245,2,$90
33341290,,42.38621,-71.11571,2,$173
39908171,,42.38604,-71.1168,2,$168
48178837,,42.3859,-71.11759,2,$171
10630505,4.7,42.38862,-71.10781,2,$100
42531704,,42.39053,-71.10806,1,$33
42836939,,42.38682,-71.11111,1,$85
31448916,4.72,42.38916,-71.08953,1,$56
48548801,4.05,42.38879,-71.08259,2,$45
31362246,4.76,42.38877,-71.0907,1,$36
20269766,4.77,42.38967,-71.09149,2,$60
